,link,category,location,id,date,countdates,counts
106,https://www.tesla.com/de_DE/careers/search/job/water-treatment-engineer-facilities-operations-m-w-d-gigafactory-berlin-78696,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",78696.0,2020-12-11,2020-08-14,1.0
131,https://www.tesla.com/de_DE/careers/search/job/senior-project-engineer-cells-manufacturing-m-w-d-gigafactory-berlin-79103,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",79103.0,2020-12-11,,
80,https://www.tesla.com/de_DE/careers/search/job/gas-and-chemical-engineer-facilities-operations-m-w-d-gigafactory-berlin-78697,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",78697.0,2020-12-11,2020-09-15,1.0
66,https://www.tesla.com/de_DE/careers/search/job/konstrukteur-planer-fr-druckgieanlagen-gigafactory-berlin-m-w-d-78995,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78995.0,2020-12-11,2020-11-03,2.0
7,https://www.tesla.com/de_DE/careers/search/job/water-treatment-engineer-maintenance-m-w-d-gigafactory-berlin-brandenburg-78611,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",78611.0,2020-12-11,2020-11-18,7.0
52,https://www.tesla.com/de_DE/careers/search/job/coordinator-sachbearbeiter-facilities-operations-m-w-d-gigafactory-berlin-78699,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",78699.0,2020-12-11,2021-01-08,2.0
116,https://www.tesla.com/de_DE/careers/search/job/gas-and-chemical-engineer-maintenance-m-w-d-gigafactory-berlin-brandenburg-78605,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",78605.0,2020-12-11,2020-03-18,1.0
118,https://www.tesla.com/de_DE/careers/search/job/mechanical-engineer-facilities-operations-m-w-d-gigafactory-berlin-78691,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",78691.0,2020-12-11,2020-11-11,1.0
78,https://www.tesla.com/de_DE/careers/search/job/manufacturing-process-engineer-dispensing-cells-m-w-d-gigafactory-berlin-brandenburg-79016,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",79016.0,2020-12-10,2020-05-05,1.0
65,https://www.tesla.com/de_DE/careers/search/job/junior-bauleiter-associate-site-manager-construction-m-f-d-gigafactory-berlin-79005,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",79005.0,2020-12-10,2020-08-05,2.0
104,https://www.tesla.com/de_DE/careers/search/job/controls-engineer-ingenieur-automatisierungstechnik-battery-module-pack-m-w-d-gigafactory-berlin-brandenburg-78889,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78889.0,2020-12-09,2021-01-21,1.0
94,https://www.tesla.com/de_DE/careers/search/job/senior-engineer-process-systems-chemicals-utilities-gigafactory-berlin-brandenburg-78792,Engineering & Information Technology,"Grünheide (Gigafactory Berlin), Brandenburg",78792.0,2020-12-08,2020-05-29,1.0
26,https://www.tesla.com/de_DE/careers/search/job/senior-mechanical-design-engineerm-w-d-high-voltage-gigafactory-berlin-brandenburg-78598,Design,"Grünheide (Gigafactory Berlin), Brandenburg",78598.0,2020-12-08,2021-01-07,4.0
28,https://www.tesla.com/de_DE/careers/search/job/schmelzer-fr-aluminium-druckguss-m-w-d-gigafactory-berlin-brandenburg-78591,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78591.0,2020-12-08,2020-11-25,4.0
90,https://www.tesla.com/de_DE/careers/search/job/manufacturing-process-engineer-laser-cells-m-w-d-gigafactory-berlin-brandenburg-78808,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78808.0,2020-12-08,2020-11-16,1.0
293,https://www.tesla.com/de_DE/careers/search/job/manager-operations-general-assembly-operative-produktionsleitung-in-der-fahrzeugmontage-m-w-d-gigafactory-berlin-71491,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",71491.0,2020-12-07,,
115,https://www.tesla.com/de_DE/careers/search/job/manufacturing-engineer-paint-process-equipment-gigafactory-berlin-m-w-d-77947,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77947.0,2020-12-07,2020-07-16,1.0
100,https://www.tesla.com/de_DE/careers/search/job/staff-packaging-engineer-m-w-d-gigafactory-berlin-brandenburg-78314,Design,"Grünheide (Gigafactory Berlin), Brandenburg",78314.0,2020-12-07,2020-08-11,1.0
39,https://www.tesla.com/de_DE/careers/search/job/integration-engineer-electronic-systems-m-w-d-gigafactory-berlin-brandenburg-78071,Engineering & Information Technology,"Grünheide (Gigafactory Berlin), Brandenburg",78071.0,2020-12-04,2020-10-02,3.0
41,https://www.tesla.com/de_DE/careers/search/job/controls-engineer-cells-automation-engineer-cells-m-w-d-gigafactory-berlin-brandenburg-78503,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78503.0,2020-12-03,2020-12-17,3.0
133,https://www.tesla.com/de_DE/careers/search/job/manager-of-maintenance-cell-leitung-der-instandhaltung-batteriezellenfertigung-m-w-d-gigafactory-berlin-brandenburg-78405,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78405.0,2020-12-02,,
34,https://www.tesla.com/de_DE/careers/search/job/associate-operations-manager-cell-m-w-d-gigafactory-berlin-brandenburg-78401,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78401.0,2020-12-02,2020-07-19,3.0
93,https://www.tesla.com/de_DE/careers/search/job/operations-manager-cell-leitung-der-produktion-batteriezellenfertigung-m-w-d-gigafactory-berlin-brandenburg-78404,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78404.0,2020-12-02,2020-06-19,1.0
49,https://www.tesla.com/de_DE/careers/search/job/metrology-and-materials-engineer-cell-m-w-d-gigafactory-berlin-brandenburg-78408,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78408.0,2020-12-02,2020-10-15,2.0
182,https://www.tesla.com/de_DE/careers/search/job/senior-cloud-security-engineer-platform-security-m-w-d-gigafactory-berlin-76753,Engineering & Information Technology,"Grünheide (Gigafactory Berlin), Brandenburg",76753.0,2020-12-01,,
89,https://www.tesla.com/de_DE/careers/search/job/lagerfachkraft-inhouse-logistik-m-w-d-gigafactory-berlin-brandenburg-78315,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78315.0,2020-12-01,2020-11-13,1.0
88,https://www.tesla.com/de_DE/careers/search/job/global-supply-manager-construction-m-w-d-gigafactory-berlin-77851,Supply Chain,"Grünheide (Gigafactory Berlin), Brandenburg",77851.0,2020-12-01,2020-06-11,1.0
10,https://www.tesla.com/de_DE/careers/search/job/anlagenmechaniker-fr-sanitr-heizungs-und-klimatechnik-m-w-d-gigafactory-berlin-brandenburg-78304,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",78304.0,2020-12-01,2020-11-06,6.0
84,https://www.tesla.com/de_DE/careers/search/job/senior-architect-integrated-planner-m-w-d-gigafactory-berlin-78321,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",78321.0,2020-12-01,2020-03-28,1.0
30,https://www.tesla.com/de_DE/careers/search/job/senior-electrical-engineer-cells-m-w-d-gigafactory-berlin-78088,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78088.0,2020-11-30,2020-11-19,3.0
101,https://www.tesla.com/de_DE/careers/search/job/system-key-user-material-handling-intralogistics-m-w-d-gigafactory-berlin-78038,Supply Chain,"Grünheide (Gigafactory Berlin), Brandenburg",78038.0,2020-11-30,2020-04-22,1.0
14,https://www.tesla.com/de_DE/careers/search/job/bauingenieur-als-planungskoordinator-m-w-d-gigafactory-berlin-brandenburg-78179,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",78179.0,2020-11-30,2020-10-29,6.0
130,https://www.tesla.com/de_DE/careers/search/job/schichtleiter-meister-cell-m-w-d-gigafactory-berlin-brandenburg-77855,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77855.0,2020-11-30,,
61,https://www.tesla.com/de_DE/careers/search/job/production-engineer-equipment-cell-manufacturing-m-w-d-gigafactory-berlin-brandenburg-78072,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78072.0,2020-11-27,2020-07-15,2.0
108,https://www.tesla.com/de_DE/careers/search/job/qualittstechniker-montage-m-w-d-gigafactory-berlin-brandenburg-78107,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78107.0,2020-11-27,2020-09-14,1.0
1,https://www.tesla.com/de_DE/careers/search/job/production-engineer-process-engineering-cell-manufacturing-m-w-d-gigafactory-berlin-brandenburg-78067,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",78067.0,2020-11-27,2020-12-22,12.0
23,https://www.tesla.com/de_DE/careers/search/job/senior-quality-engineer-cells-m-w-d-gigafactory-berlin-77991,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77991.0,2020-11-25,2021-01-27,4.0
97,https://www.tesla.com/de_DE/careers/search/job/schichtleiter-schichtleiterin-lackiererei-supervisor-paint-m-w-d-gigafactory-berlin-brandenburg-77946,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77946.0,2020-11-25,2020-08-24,1.0
195,https://www.tesla.com/de_DE/careers/search/job/mechanical-design-engineer-cell-engineering-m-w-d-gigafactory-berlin-brandenburg-67560,Engineering & Information Technology,"Grünheide (Gigafactory Berlin), Brandenburg",67560.0,2020-11-25,,
109,https://www.tesla.com/de_DE/careers/search/job/senior-quality-engineer-paint-m-w-d-gigafactory-berlin-77956,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77956.0,2020-11-25,2020-03-17,1.0
20,https://www.tesla.com/de_DE/careers/search/job/sr-mechanical-design-engineer-cell-manufacturing-gigafactory-berlin-m-w-d-77833,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77833.0,2020-11-24,2020-12-08,4.0
68,https://www.tesla.com/de_DE/careers/search/job/anlagenbetreiber-karosseriebau-m-w-d-gigafactory-berlin-brandenburg-77829,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77829.0,2020-11-24,2020-06-12,2.0
87,https://www.tesla.com/de_DE/careers/search/job/schichtleiter-schichtleiterin-supervisor-general-assembly-m-w-d-gigafactory-berlin-brandenburg-77903,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77903.0,2020-11-24,2020-03-25,1.0
6,https://www.tesla.com/de_DE/careers/search/job/instandhalter-cell-m-w-d-gigafactory-berlin-brandenburg-77841,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77841.0,2020-11-24,2020-10-19,8.0
40,https://www.tesla.com/de_DE/careers/search/job/manufacturing-engineer-cell-engineering-assembly-m-w-d-gigafactory-berlin-brandenburg-77734,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77734.0,2020-11-23,2020-06-08,3.0
163,https://www.tesla.com/de_DE/careers/search/job/bauleitung-tga-site-manager-mechanical-m-f-d-gigafactory-berlin-brandenburg-68400,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",68400.0,2020-11-20,,
29,https://www.tesla.com/de_DE/careers/search/job/teamleiter-karosseriebau-m-w-d-gigafactory-berlin-brandenburg-77511,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77511.0,2020-11-20,2020-11-12,3.0
127,https://www.tesla.com/de_DE/careers/search/job/senior-manufacturing-engineer-cell-engineering-assembly-m-w-d-gigafactory-berlin-brandenburg-77588,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77588.0,2020-11-20,,
9,https://www.tesla.com/de_DE/careers/search/job/produkt-techniker-musterbau-und-neuprodukteinfhrung-prototyping-additive-fertigung-m-w-d-gigafactory-berlin-brandenburg-77495,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77495.0,2020-11-19,2020-09-28,7.0
98,https://www.tesla.com/de_DE/careers/search/job/maintenance-planner-material-handling-equipment-m-w-d-gigafactory-berlin-77504,Supply Chain,"Grünheide (Gigafactory Berlin), Brandenburg",77504.0,2020-11-19,2020-10-26,1.0
24,https://www.tesla.com/de_DE/careers/search/job/emea-master-data-specialist-77379,Finance,"Grünheide (Gigafactory Berlin), Brandenburg",77379.0,2020-11-19,2020-08-25,4.0
250,https://www.tesla.com/de_DE/careers/search/job/instandhalter-fr-das-energiezentrum-facilities-operations-m-w-d-gigafactory-berlin-76855,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",76855.0,2020-11-18,,
114,https://www.tesla.com/de_DE/careers/search/job/teamleiter-powertrain-m-w-d-gigafactory-berlin-brandenburg-77159,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77159.0,2020-11-18,2020-11-17,1.0
82,https://www.tesla.com/de_DE/careers/search/job/process-engineer-prozessingenieur-battery-montage-m-w-d-gigafactory-berlin-brandenburg-77163,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77163.0,2020-11-18,2020-09-09,1.0
48,https://www.tesla.com/de_DE/careers/search/job/senior-manager-cell-controls-engineering-m-w-d-gigafactory-berlin-77181,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77181.0,2020-11-18,2021-01-06,2.0
